iter	RMSE
0	13.31192691
1	13.19322453
2	13.08360576
3	12.97883088
4	12.87168622
5	12.77965738
6	12.69078989
7	12.59444727
8	12.50843134
9	12.42360071
10	12.33508043
11	12.25052789
12	12.17145844
13	12.09628464
14	12.02686194
15	11.95426979
16	11.88746929
17	11.81803199
18	11.75913995
19	11.70842079
20	11.65341929
21	11.60024795
22	11.54056621
23	11.48782852
24	11.42961323
25	11.38055202
26	11.32661497
27	11.28528311
28	11.23623988
29	11.19072365
30	11.1390401
31	11.08883309
32	11.04830535
33	11.00394816
34	10.9567424
35	10.91957613
36	10.8739162
37	10.83196152
38	10.79531444
39	10.76242282
40	10.72340505
41	10.68736738
42	10.65136285
43	10.62301062
44	10.5920353
45	10.56130065
46	10.52636631
47	10.49661389
48	10.46262725
49	10.42977977
50	10.40020849
51	10.37371642
52	10.35017007
53	10.32339236
54	10.29068983
55	10.25756254
56	10.22569543
57	10.19884604
58	10.17214208
59	10.13927062
60	10.11288422
61	10.08781848
62	10.06397457
63	10.0433804
64	10.02123638
65	9.998117489
66	9.978712355
67	9.956974404
68	9.938329609
69	9.91291996
70	9.894429349
71	9.868041335
72	9.842753796
73	9.824121384
74	9.806502944
75	9.787223228
76	9.773193893
77	9.756207796
78	9.733477628
79	9.7184458
80	9.704328537
81	9.6876315
82	9.665349099
83	9.649602799
84	9.634992825
85	9.617997055
86	9.595740379
87	9.581333827
88	9.566289599
89	9.553051722
90	9.537035756
91	9.51793688
92	9.500363178
93	9.481615872
94	9.462015226
95	9.447437159
96	9.425500717
97	9.402192536
98	9.391173124
99	9.372731018
100	9.36116939
101	9.347174693
102	9.331975424
103	9.319084954
104	9.299776783
105	9.286695003
106	9.276359986
107	9.264708383
108	9.25406626
109	9.227283192
110	9.215481996
111	9.204003815
112	9.190661507
113	9.168297474
114	9.157182207
115	9.14410636
116	9.130498413
117	9.119347215
118	9.112921486
119	9.088352815
120	9.076902173
121	9.069990043
122	9.057401627
123	9.043826821
124	9.03591897
125	9.022845155
126	9.005198329
127	8.991849697
128	8.978422973
129	8.970765657
130	8.957905384
131	8.948789965
132	8.940775231
133	8.925881738
134	8.904608916
135	8.890016758
136	8.883687542
137	8.861077755
138	8.846694226
139	8.838053666
140	8.816852486
141	8.808520052
142	8.79355704
143	8.787960659
144	8.778299354
145	8.759912388
146	8.750368797
147	8.739438962
148	8.727946698
149	8.718429928
150	8.700803388
151	8.68809846
152	8.67379535
153	8.656698259
154	8.64497207
155	8.640887098
156	8.631504498
157	8.615808841
158	8.600601397
159	8.592772533
160	8.587659855
161	8.582645562
162	8.570507391
163	8.549375276
164	8.538183669
165	8.530955039
166	8.523172196
167	8.513797325
168	8.5045666
169	8.497871132
170	8.482128947
171	8.47297625
172	8.46812413
173	8.456134562
174	8.448986324
175	8.442228267
176	8.438167963
177	8.430317994
178	8.417510903
179	8.408663308
180	8.399745653
181	8.395857366
182	8.387691039
183	8.380747343
184	8.368356716
185	8.354676071
186	8.346129801
187	8.340697342
188	8.331957625
189	8.308187657
190	8.29854802
191	8.288627105
192	8.283787491
193	8.276423362
194	8.270004349
195	8.264959767
196	8.254302372
197	8.242352284
198	8.237890773
199	8.227284746
200	8.219509597
201	8.212893516
202	8.207627737
203	8.198727502
204	8.189825383
205	8.176134618
206	8.172075555
207	8.161876285
208	8.154012174
209	8.14701335
210	8.13906044
211	8.127454888
212	8.11235358
213	8.103608418
214	8.095931124
215	8.07965881
216	8.071569215
217	8.065312553
218	8.061635177
219	8.052648031
220	8.042660093
221	8.03483011
222	8.027541876
223	8.017379082
224	8.011943014
225	8.006615966
226	8.002443823
227	7.993352627
228	7.989407448
229	7.985538587
230	7.976432921
231	7.971840187
232	7.964029064
233	7.959616264
234	7.946749993
235	7.942674474
236	7.939246353
237	7.928375158
238	7.922644181
239	7.917548241
240	7.914140261
241	7.900891999
242	7.894832494
243	7.892230502
244	7.881551373
245	7.872155706
246	7.869140191
247	7.860165003
248	7.850993941
249	7.847000353
250	7.842418427
251	7.839252359
252	7.830941296
253	7.826357302
254	7.820909148
255	7.81658485
256	7.808582079
257	7.802982161
258	7.792110741
259	7.789097397
260	7.784111893
261	7.774643587
262	7.769789169
263	7.764216306
264	7.756468663
265	7.753707967
266	7.741782592
267	7.728210811
268	7.722279258
269	7.720570357
270	7.716656382
271	7.708514706
272	7.69983062
273	7.691745758
274	7.687407706
275	7.679941738
276	7.670792571
277	7.662918847
278	7.657060401
279	7.649650269
280	7.642449505
281	7.63732151
282	7.633352317
283	7.630292576
284	7.619363507
285	7.613392386
286	7.611216213
287	7.607333582
288	7.595102393
289	7.585126591
290	7.581670129
291	7.574549138
292	7.569014945
293	7.560017513
294	7.558101478
295	7.549959454
296	7.539251032
297	7.536200475
298	7.532987404
299	7.531490438
300	7.524335095
301	7.515186156
302	7.512714987
303	7.501147446
304	7.488306786
305	7.47997113
306	7.476512542
307	7.473866459
308	7.473864326
309	7.461804526
310	7.458886889
311	7.447577849
312	7.440407809
313	7.428757724
314	7.423267337
315	7.416102602
316	7.407005957
317	7.404538304
318	7.398718777
319	7.395984932
320	7.393564925
321	7.386357132
322	7.382475457
323	7.376643712
324	7.370890415
325	7.3559348
326	7.355913559
327	7.347707629
328	7.343669181
329	7.3366888
330	7.32843132
331	7.324694829
332	7.32083055
333	7.314178902
334	7.310362936
335	7.306801373
336	7.306780207
337	7.303635828
338	7.296927208
339	7.284211592
340	7.279467735
341	7.276666958
342	7.269561269
343	7.267524343
344	7.262359275
345	7.254894548
346	7.249054741
347	7.238663947
348	7.230068045
349	7.223369017
350	7.222133285
351	7.215074877
352	7.209636718
353	7.201532442
354	7.19624468
355	7.19142506
356	7.18651657
357	7.178613406
358	7.171565967
359	7.169505202
360	7.164615743
361	7.156947264
362	7.146525844
363	7.139981117
364	7.133912927
365	7.125967979
366	7.121869613
367	7.118368513
368	7.10977114
369	7.108802525
370	7.101059403
371	7.100209962
372	7.098212713
373	7.093856929
374	7.09238777
375	7.0861643
376	7.079423691
377	7.073863668
378	7.070924405
379	7.064071976
380	7.060929255
381	7.054641194
382	7.044974191
383	7.041805286
384	7.037691437
385	7.031932903
386	7.029923741
387	7.022480302
388	7.015259879
389	7.011711004
390	7.009725159
391	6.997218835
392	6.992666986
393	6.990606398
394	6.98043229
395	6.972482813
396	6.969651321
397	6.967329463
398	6.963020032
399	6.961479746
400	6.961447224
401	6.956631325
402	6.950849676
403	6.947984815
404	6.941757519
405	6.93906376
406	6.935135422
407	6.928910614
408	6.926027239
409	6.923720688
410	6.91919699
411	6.917766105
412	6.912445796
413	6.91110118
414	6.902116283
415	6.898406352
416	6.895621207
417	6.88977818
418	6.88726295
419	6.883018052
420	6.878990493
421	6.876840431
422	6.871027145
423	6.868106005
424	6.863860409
425	6.860190915
426	6.852731328
427	6.846637693
428	6.836641134
429	6.83035831
430	6.827233413
431	6.822871482
432	6.820857773
433	6.815356778
434	6.812027694
435	6.804001674
436	6.802230839
437	6.802221229
438	6.799998828
439	6.793248167
440	6.786986958
441	6.786977326
442	6.786970278
443	6.783167755
444	6.776164333
445	6.769825383
446	6.769817846
447	6.766520317
448	6.763972217
449	6.761662733
450	6.755952119
451	6.75326853
452	6.748996997
453	6.748213104
454	6.745527146
455	6.740451485
456	6.737758647
457	6.733923599
458	6.726264011
459	6.723694016
460	6.720786177
461	6.719151447
462	6.715915456
463	6.711971486
464	6.708971111
465	6.704246865
466	6.699578307
467	6.698308784
468	6.693592256
469	6.686718675
470	6.683543317
471	6.676859263
472	6.672564382
473	6.66838222
474	6.66269958
475	6.658562942
476	6.655424939
477	6.645997722
478	6.640528586
479	6.63401317
480	6.630097432
481	6.624005268
482	6.621826589
483	6.620332395
484	6.618810162
485	6.614009945
486	6.607824289
487	6.599570709
488	6.599564428
489	6.598596306
490	6.597779079
491	6.593416243
492	6.591419757
493	6.58499909
494	6.584993037
495	6.583021606
496	6.578907332
497	6.577692085
498	6.576254051
499	6.571274018
500	6.570133073
501	6.567463623
502	6.566146217
503	6.565577024
504	6.558650231
505	6.55591628
506	6.555270313
507	6.547774051
508	6.541054122
509	6.536022631
510	6.53283138
511	6.527756182
512	6.525481842
513	6.523054679
514	6.52087748
515	6.51688251
516	6.515287899
517	6.5095157
518	6.504064418
519	6.5017531
520	6.498099703
521	6.497534854
522	6.495367757
523	6.494653659
524	6.492879734
525	6.489708297
526	6.486531621
527	6.482281089
528	6.473636193
529	6.472740623
530	6.470917326
531	6.470916587
532	6.469146998
533	6.469141576
534	6.466420819
535	6.4615449
536	6.458076882
537	6.456397614
538	6.451369792
539	6.449571355
540	6.447391351
541	6.445706331
542	6.443107079
543	6.439763323
544	6.436404206
545	6.432668337
546	6.428217996
547	6.428217748
548	6.424638182
549	6.422624233
