iter	Passed	Remaining
0	12	7055
1	24	6764
2	36	6659
3	47	6479
4	58	6381
5	70	6370
6	80	6281
7	92	6255
8	104	6253
9	114	6182
10	125	6125
11	135	6076
12	146	6067
13	157	6039
14	168	6003
15	179	5977
16	190	5958
17	200	5924
18	211	5905
19	221	5875
20	232	5849
21	243	5846
22	255	5844
23	265	5822
24	276	5806
25	287	5789
26	298	5774
27	309	5768
28	319	5747
29	330	5732
30	342	5728
31	352	5710
32	363	5691
33	374	5676
34	385	5665
35	395	5642
36	406	5638
37	417	5624
38	428	5607
39	438	5588
40	448	5568
41	458	5548
42	469	5534
43	479	5519
44	490	5508
45	502	5501
46	512	5488
47	523	5475
48	534	5461
49	545	5456
50	556	5446
51	566	5430
52	578	5421
53	588	5409
54	599	5397
55	611	5394
56	622	5385
57	633	5374
58	644	5364
59	655	5355
60	667	5348
61	678	5342
62	689	5329
63	700	5321
64	711	5310
65	721	5293
66	731	5276
67	742	5263
68	752	5248
69	763	5234
70	773	5219
71	784	5208
72	795	5198
73	806	5190
74	818	5182
75	829	5171
76	840	5164
77	851	5154
78	862	5142
79	873	5133
80	885	5125
81	896	5117
82	908	5108
83	919	5100
84	930	5091
85	941	5079
86	953	5072
87	964	5061
88	975	5053
89	986	5041
90	997	5031
91	1009	5024
92	1020	5013
93	1030	5001
94	1042	4992
95	1053	4981
96	1064	4972
97	1075	4961
98	1086	4948
99	1097	4940
100	1109	4931
101	1120	4920
102	1130	4907
103	1142	4897
104	1152	4885
105	1163	4871
106	1173	4859
107	1184	4849
108	1195	4836
109	1206	4826
110	1217	4815
111	1228	4804
112	1239	4794
113	1250	4783
114	1261	4770
115	1271	4758
116	1282	4745
117	1293	4733
118	1303	4721
119	1315	4712
120	1325	4700
121	1335	4686
122	1346	4675
123	1356	4661
124	1367	4650
125	1378	4640
126	1389	4629
127	1400	4618
128	1412	4608
129	1422	4594
130	1432	4582
131	1443	4569
132	1453	4558
133	1465	4549
134	1476	4537
135	1487	4526
136	1497	4514
137	1509	4506
138	1520	4497
139	1532	4487
140	1543	4476
141	1554	4465
142	1564	4453
143	1575	4440
144	1585	4429
145	1596	4417
146	1607	4407
147	1618	4395
148	1628	4383
149	1639	4373
150	1651	4363
151	1663	4355
152	1675	4348
153	1686	4337
154	1698	4327
155	1708	4315
156	1719	4305
157	1731	4294
158	1742	4283
159	1753	4273
160	1764	4263
161	1775	4251
162	1786	4240
163	1798	4232
164	1809	4222
165	1820	4211
166	1831	4200
167	1843	4191
168	1854	4181
169	1866	4171
170	1876	4158
171	1886	4145
172	1896	4131
173	1906	4118
174	1916	4106
175	1926	4094
176	1936	4080
177	1947	4070
178	1958	4059
179	1969	4049
180	1980	4037
181	1991	4025
182	2001	4013
183	2012	4002
184	2037	4019
185	2048	4008
186	2059	3998
187	2071	3987
188	2083	3979
189	2095	3970
190	2106	3959
191	2118	3949
192	2129	3939
193	2140	3927
194	2151	3916
195	2162	3905
196	2173	3894
197	2184	3883
198	2194	3870
199	2205	3859
200	2216	3848
201	2227	3837
202	2238	3826
203	2249	3814
204	2259	3803
205	2270	3791
206	2280	3779
207	2292	3768
208	2302	3757
209	2313	3745
210	2324	3734
211	2335	3723
212	2346	3712
213	2356	3700
