Ticker,year,Company,Peer_group_root,Region,Country,environment_score,social_score,governance_score,total_esg_score,Close,Volume,Asset Turnover,Current Ratio,Days Sales In Receivables,Debt/Equity Ratio,EBIT Margin,EBITDA Margin,Gross Margin,Inventory Turnover Ratio,Long-term Debt / Capital,Net Profit Margin,Operating Margin,Pre-Tax Profit Margin,ROA - Return On Assets,ROE - Return On Equity,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,operating_cash_flow,shares_outstanding,sector
A,2011,Agilent Technologies Inc.,Pharmaceuticals,North America,United States,77.0,80.33333333333333,68.66666666666667,76.0,27.78,5472100.0,0.1932,3.23565,48.8054,0.5162,16.6174,0.0,53.2986,0.8947,0.3405,16.7245,16.6174,16.6174,3.1909,6.696,4481000000.0,-31000000.0,47000000.0,,,,408000000.0,,Pharmaceuticals
A,2012,Agilent Technologies Inc.,Pharmaceuticals,North America,United States,84.5,88.0,67.25,80.5,26.05,4266800.0,0.17815,2.8602499999999997,47.2072,0.4581,16.1539,0.0,52.57525,0.8227500000000001,0.2895,14.408850000000001,16.1539,15.07265,2.6184000000000003,5.2545,5444000000.0,684000000.0,566000000.0,,,,718000000.0,,Pharmaceuticals
A,2014,Agilent Technologies Inc.,Pharmaceuticals,North America,United States,81.5,75.5,63.166666666666664,73.16666666666667,38.495000000000005,2455850.0,0.1669,3.2559,31.2133,0.3135,9.6399,0.0,49.6953,1.5819,0.2387,0.8864,9.6399,4.7091,0.1479,0.3017,6858000000.0,1153000000.0,1119000000.0,,,,1228000000.0,,Pharmaceuticals
A,2015,Agilent Technologies Inc.,Pharmaceuticals,North America,United States,82.33333333333333,70.33333333333333,61.666666666666664,70.66666666666667,38.08,2230600.0,0.1384,3.8925,52.6957,0.398,14.2012,0.0,50.5917,0.9193,0.2847,10.9468,14.2012,12.6233,1.5584,2.7521,3894000000.0,734000000.0,386000000.0,,,,1152000000.0,,Pharmaceuticals
A,2016,Agilent Technologies Inc.,Pharmaceuticals,North America,United States,83.274,70.606,60.686,70.796,43.105000000000004,1834950.0,0.135,3.0786,51.1161,0.4484,13.9847,0.0,52.0118,0.9245,0.2842,11.3411,13.9847,12.8353,1.6033,2.8532,4048000000.0,549000000.0,419000000.0,,,,731000000.0,,Pharmaceuticals
A,2017,Agilent Technologies Inc.,Pharmaceuticals,United States and Canada,United States,88.24000000000001,57.276666666666664,61.00666666666666,66.13333333333334,58.12,1617500.0,0.1375,3.22,54.8024,0.4513,18.0431,0.0,53.5744,0.9307,0.2809,14.8865,18.0431,17.3321,2.1006,3.7486,4038000000.0,401000000.0,522000000.0,,,,512000000.0,,Pharmaceuticals
A,2018,Agilent Technologies Inc,Pharmaceuticals,United States and Canada,United States,81.54666666666667,58.49666666666667,61.47,65.14999999999999,65.67,2286100.0,0.1441,3.315,54.8379,0.3938,18.3707,0.0,54.7141,0.9185,0.2824,16.9983,18.3707,18.8563,2.3338,4.4401,4202000000.0,462000000.0,615000000.0,,,,793000000.0,,Pharmaceuticals
A,2019,Agilent Technologies Inc,Pharmaceuticals,United States and Canada,United States,81.555,60.015,61.715,65.905,74.91499999999999,1846750.0,0.1446,2.1313,60.471,0.3788,17.6609,0.0,54.0388,0.8818,0.2597,14.7011,17.6609,17.4254,,4.0236,4472000000.0,684000000.0,807000000.0,,8558000000.0,3961000000.0,889000000.0,,Pharmaceuticals
AAL,2010,American Airlines Group Inc.,Transportation,North America,United States,73.0,57.333333333333336,74.0,66.66666666666667,8.465,8044550.0,0.2227,0.7788,13.6957,-2.9254,3.4544,0.0,19.3691,7.9426,1.3257449999999977,-0.1939,3.4544,-0.1939,-0.0425,0.2799,,-2118000000.0,-1889000000.0,,,,-1394000000.0,,Transportation
AAL,2011,American Airlines Group Inc.,Transportation,North America,United States,75.0,54.0,75.0,66.5,7.6,6460000.0,0.2497,0.783,13.63,-2.4043,-1.2758,0.0,16.468,8.1342,1.3257449999999977,-4.6778,-1.2758,-4.6778,-1.1091,6.3429,,143000000.0,342000000.0,,,,930000000.0,,Transportation
AAL,2012,American Airlines Group Inc.,Transportation,North America,United States,80.5,57.5,73.0,69.25,10.379999999999999,7003250.0,0.2609,0.789,15.99375,-1.02645,0.7933,0.0,19.322850000000003,8.7114,0.0,-3.7186500000000002,0.7933,-3.7353,-0.9847,2.9572000000000003,,-162000000.0,308000000.0,,,,1241000000.0,,Transportation
AAL,2014,American Airlines Group Inc.,Transportation,North America,United States,77.0,67.0,74.5,72.5,41.28,14348050.0,0.2351,0.8766,15.6865,8.7679,8.4637,0.0,29.3967,7.1454,0.8881,5.8656,8.4637,5.5703,1.3788,29.4904,6828000000.0,289000000.0,701000000.0,,,,1285000000.0,197400000.0,Transportation
AAL,2015,American Airlines Group Inc.,Transportation,North America,United States,44.333333333333336,48.333333333333336,60.333333333333336,49.666666666666664,41.74,9779150.0,0.2198,0.9378,15.3671,5.1689,17.7427,0.0,35.6793,6.6446,0.8251,15.8136,17.7427,15.877,3.5598,46.8647,26743000000.0,942000000.0,1399000000.0,,,,675000000.0,,Transportation
AAL,2016,American Airlines Group Inc.,Transportation,North America,United States,45.07,52.346666666666664,61.15,51.99666666666667,36.805,8197500.0,0.203,0.7497,14.4676,5.3161,13.5077,0.0,34.4346,6.3711,0.8307,6.9568,13.5077,11.2233,1.442,16.7843,42650000000.0,2882000000.0,4249000000.0,,,,3080000000.0,,Transportation
AAL,2017,American Airlines Group Inc.,Transportation,United States and Canada,United States,41.592,56.24000000000001,61.658,52.464,45.99,5350800.0,0.2093,0.6534,13.9535,6.2523,11.4546,0.0,31.4546,5.7156,0.8584,6.0283,11.4546,9.6945,1.2614,23.2571,40990000000.0,7610000000.0,6204000000.0,,,,6249000000.0,,Transportation
AAL,2018,American Airlines Group Inc,Transportation,United States and Canada,United States,44.32,58.9,64.99,55.32,40.47,5989000.0,0.2196,0.5505,15.0039,-8.848264,5.9261,0.0,26.1108,5.4213,1.0262,3.2183,5.9261,4.291,0.7068,-50.534578999999994,40142000000.0,2584000000.0,5060000000.0,,,,6524000000.0,,Transportation
AAL,2019,American Airlines Group Inc,Transportation,United States and Canada,United States,44.254999999999995,58.82,64.99,55.265,30.68,6373350.0,0.193,0.4894,13.9787,-8.848264,6.7836,0.0,27.6635,4.7867,1.001,3.6595,6.7836,5.0561,,-50.534578999999994,42622000000.0,1282000000.0,4231000000.0,,,,4744000000.0,,Transportation
AAP,2011,Advance Auto Parts Inc.,Retailing,North America,United States,35.333333333333336,37.0,63.666666666666664,42.666666666666664,61.315,1013300.0,0.3983,1.1238000000000001,8.073,0.7411,12.138,0.0,49.4545,0.351,0.4252,7.1862,12.138,11.5398,2.8698,13.5738,5412623000.0,270373000.0,454385000.0,2644226000.0,,,699690000.0,,Retailing
AAP,2012,Advance Auto Parts Inc.,Retailing,North America,United States,37.0,44.0,67.0,47.0,70.92,931100.0,0.34245000000000003,1.2223,11.22365,0.5449999999999999,10.89465,0.0,49.8882,0.3415,0.35235,6.47265,10.89465,10.39035,2.2216,8.6024,5925203000.0,346053000.0,584933000.0,2961315000.0,,,666159000.0,,Retailing
AAP,2013,Advance Auto Parts Inc.,Retailing,North America,United States,41.0,45.0,62.0,48.0,80.62,669150.0,0.3074,1.2816,16.5168,0.4419,11.2308,0.0,50.1887,0.3073,0.3062,6.815,11.2308,10.732,2.0998,7.0736,6170462000.0,394682000.0,664642000.0,3069290000.0,,,828849000.0,,Retailing
